city,theatre_name,average_ticket_price,total_seats,no_screens,type,theatre_chain,lat,lon,calculated_seats,calculated_ticket_prices,calculated_screens,average_2,source_of_information,notes
Ahmedabad,"AB Miniplex: Shivranjini Cross Road, Satellite",125.6190476,302,3,Multiplex,,23.02494,72.52938,302,118,3,124,BookMyShow,
Ahmedabad,Amber Cinema: Ahmedabad,100.8333333,763,1,Single Screen,,23.03431,72.62002,763,80,1,98.75,BookMyShow,
Ahmedabad,Anupam Cinema: Ahmedabad,125.8333333,781,1,Single Screen,,23.00656,72.61333,781,80,1,121.25,BookMyShow,
Ahmedabad,"Apsara Cinema, Behrampura",,1117,1,Single Screen,,23.0039742,72.597468,,,,,MediaAnt,
Ahmedabad,"Aradhana Cinema, Behrampura",,455,1,Single Screen,,23.00396,72.5975195,,,,,MediaAnt,
Ahmedabad,Carnival: Himalaya Mall,189.0509259,1110,5,Multiplex,Carnival,23.04708,72.53093,1106,126.9333333,5,178.1166667,"BookMyShow, MediaAnt",
Ahmedabad,"Cinemax: Dev Arc, Ahmedabad",176.4351852,1047,4,Multiplex,PVR,23.02573,72.50776,1047,123.3333333,4,173.5802469,BookMyShow,
Ahmedabad,"Cinemax: Red Carpet, Ahmedabad",152.0524691,991,4,Multiplex,PVR,23.07968,72.5277,991,107.5,4,154.375,BookMyShow,
Ahmedabad,"Cinemax: Shiv, Ahmedabad",176.2777778,637,3,Multiplex,PVR,23.03188,72.57103,637,138.3333333,3,172.8125,BookMyShow,https://en.wikipedia.org/wiki/CineMAX
Ahmedabad,"Cinepolis: Alpha One Mall, Ahmedabad",197.9494949,1136,6,Multiplex,Cinepolis,23.03952,72.53199,1219,140,6,195,"BookMyShow, MediaAnt",
Ahmedabad,City Gold Satellite: Ahmedabad,156.1458333,371,4,Multiplex,City Gold,23.01568,72.52992,494,118,4,157.8333333,BookMyShow,
Ahmedabad,City Gold: Ashram Road,159.9814815,1313,5,Multiplex,City Gold,23.0319,72.56999,1287,110,5,161.6666667,"BookMyShow, MediaAnt",
Ahmedabad,City Gold: Bapunagar,101.1666667,419,4,Multiplex,City Gold,23.03743,72.61513,438,85,4,100.8695652,"BookMyShow, MediaAnt",
Ahmedabad,City Gold: Bopal,152.3571429,462,4,Multiplex,City Gold,23.02869,72.47856,462,100,4,156.8181818,BookMyShow,
Ahmedabad,City Gold: Motera,111.5,728,2,Multiplex,City Gold,23.09203,72.59319,728,90,2,104,BookMyShow,
Ahmedabad,Devi Multiplex: Naroda,94.77777778,804,3,Multiplex,,23.07253,72.64998,1536,80,3,94.58333333,"BookMyShow, MediaAnt",
Ahmedabad,"Galaxy, Station Road",,909,1,Single Screen,,23.0748037,72.6554437,,,,,MediaAnt,
Ahmedabad,"Hanjar Cinema, Gandhi Ashram",,995,1,Single Screen,,23.0263983,72.6040875,,,,,MediaAnt,
Ahmedabad,K Sera Sera: SG Highway,155.2083333,152,2,Multiplex,K Sera Sera,23.02873,72.50858,152,125,2,156.6666667,BookMyShow,
Ahmedabad,"Mira Cinema, Bhairavnath Road",,1028,1,Single Screen,,22.9972166,72.5927863,,,,,MediaAnt,
Ahmedabad,Miraj Cinemas Cine Pride: Krishna Nagar,105.5,829,4,Multiplex,Miraj Cinema,23.05369,72.64335,829,73.75,4,108.75,BookMyShow,
Ahmedabad,"Miraj Cinemas: Vitthal Plaza, New Naroda",150.4583333,372,3,Multiplex,Miraj Cinema,23.07891,72.67304,372,103.3333333,3,150,BookMyShow,http://www.indiantelevision.com/movies/hindi/miraj-cinemas-adds-four-multiplexes-in-15-days-inches-closer-to-100-plan-170428
Ahmedabad,Miraj City Pulse: Ahmedabad,158.7590909,936,4,Multiplex,Miraj Cinema,23.01467,72.5964,936,110,6,161.3043478,BookMyShow,
Ahmedabad,"Mukta A2 Cinemas: Gulmohar Park Mall, Satellite Rd",151.2708333,404,4,Multiplex,Mukta A2,23.02655,72.50996,343,110.5,4,155.08,"BookMyShow, MediaAnt",
Ahmedabad,"PVR: Acropolis, Ahmedabad",232.1338384,1343,6,Multiplex,PVR,23.04884,72.51621,1343,157.2222222,6,231.3888889,BookMyShow,
Ahmedabad,"PVR: Arved Transcube, Ahmedabad",167.8217593,1404,7,Multiplex,PVR,23.0685,72.57602,1498,137.8571429,7,167.6086957,"BookMyShow, MediaAnt",http://www.indiainfoline.com/article/news-top-story/pvr-pvr-all-set-to-open-its-sixth-multiplex-in-ahmedabad-117012500436_1.html
Ahmedabad,"PVR: Motera, Ahmedabad",154.3333333,1102,4,Multiplex,PVR,23.10273,72.59521,1141,130,4,154.4642857,"BookMyShow, Internet Research",http://deshgujarat.com/2014/07/03/pvr-opens-another-multiplex-in-ahmedabad-at-motera/
Ahmedabad,Rajhans Cinemas: Nikol,114.5055556,741,3,Multiplex,Rajhans,23.05089,72.66758,741,70,3,119.5614035,BookMyShow,
Ahmedabad,Rajhans Cinemas: Satadhar,124.2296296,1080,4,Multiplex,Rajhans,23.06663,72.53127,1081,87.5,4,127.52,"BookMyShow, Internet Research",http://www.rajhanscinemas.com/cinema.aspx
Ahmedabad,Revolution Multiplex: Ahmedabad,148.75,423,4,Multiplex,,22.99858,72.63548,423,148.75,4,148.9333333,BookMyShow,
